file,duration,sample_rate,rms,peak,clipping_ratio,speech_ratio,silence_ratio,snr_estimate_db,decay_slope_db_per_s,spectral_centroid_hz,rolloff85_hz,tier
asr_final_20260809_231041_075.wav,2.96,16000,0.068651,0.4993,0.0,0.8741,0.1259,69.08,,668.5,818.6,likely_quiet
asr_final_20260809_231209_155.wav,2.96,16000,0.052735,0.7624,0.0,0.6599,0.3401,29.37,-23.0,780.3,1051.4,likely_quiet
asr_final_20260809_231239_879.wav,2.96,16000,0.063178,0.5052,0.0,0.8401,0.1599,70.48,466.4,857.9,1111.1,likely_quiet
asr_final_20260809_231308_290.wav,2.96,16000,0.068841,0.5163,0.0,0.8129,0.1871,63.99,488.2,712.7,819.3,likely_quiet
asr_final_20260809_231316_685.wav,2.816,16000,0.074501,0.5829,0.0,0.7607,0.2393,27.92,217.3,834.2,1014.9,likely_quiet
asr_final_20260809_231430_205.wav,2.96,16000,0.071963,0.5744,0.0,0.8299,0.1701,61.74,-65.9,856.6,1093.9,likely_quiet
asr_final_20260809_231458_660.wav,2.96,16000,0.063486,0.4533,0.0,0.7925,0.2075,37.06,247.3,721.5,851.4,likely_quiet
asr_final_20260809_231501_472.wav,2.56,16000,0.058527,0.6284,0.0,0.8268,0.1732,59.85,-38.0,813.2,1074.6,likely_quiet
asr_final_20260809_231815_581.wav,2.96,16000,0.11043,0.9967,0.0,0.8197,0.1803,56.09,-360.5,839.3,1065.2,likely_quiet
asr_final_20260809_231835_783.wav,2.96,16000,0.051468,0.5461,0.0,0.6973,0.3027,48.95,81.5,775.8,932.8,likely_quiet
asr_final_20260809_232101_395.wav,2.96,16000,0.053357,0.7389,0.0,0.7211,0.2789,61.17,-387.2,814.5,953.7,likely_quiet
asr_final_20260809_232222_842.wav,2.56,16000,0.074966,0.9799,0.0,0.7559,0.2441,43.81,-324.1,1020.4,1898.4,likely_quiet
asr_final_20260809_232251_702.wav,2.96,16000,0.072705,0.7607,0.0,0.7789,0.2211,60.58,-467.7,813.8,1015.5,likely_quiet
asr_final_20260809_232418_501.wav,2.96,16000,0.053204,0.3955,0.0,0.8061,0.1939,49.68,-183.8,847.8,1021.6,likely_quiet
asr_final_20260809_232513_076.wav,2.96,16000,0.060895,0.6355,0.0,0.7619,0.2381,36.83,-109.5,732.7,1098.0,likely_quiet
asr_final_20260809_232633_704.wav,2.96,16000,0.046191,0.5607,0.0,0.6803,0.3197,62.27,224.6,782.6,902.0,likely_quiet
asr_final_20260809_232637_257.wav,2.96,16000,0.066593,0.4706,0.0,0.8741,0.1259,73.58,,703.1,826.0,likely_quiet
asr_final_20260809_232750_698.wav,2.96,16000,0.062734,0.4469,0.0,0.585,0.415,26.81,35.2,711.7,819.3,likely_quiet
asr_final_20260809_233108_377.wav,2.96,16000,0.075004,0.6771,0.0,0.5986,0.4014,14.76,-2.6,635.2,1050.3,likely_farfield_or_muffled
asr_final_20260809_233119_555.wav,2.96,16000,0.063348,0.6763,0.0,0.5816,0.4184,25.8,38.0,985.5,1110.1,likely_quiet
asr_final_20260809_233548_912.wav,2.96,16000,0.07448,0.4957,0.0,0.6769,0.3231,17.4,77.2,723.3,851.7,likely_farfield_or_muffled
asr_final_20260809_233625_727.wav,2.96,16000,0.059393,0.4051,0.0,0.8605,0.1395,53.39,307.2,706.8,822.0,likely_quiet
asr_final_20260809_233705_470.wav,2.56,16000,0.059579,0.755,0.0,0.8346,0.1654,68.58,-280.2,819.7,1256.2,likely_quiet
asr_final_20260809_233727_408.wav,3.216,16000,0.086569,0.8644,0.0,0.8406,0.1594,71.22,,957.3,1108.5,likely_quiet
asr_final_20260809_233830_772.wav,2.96,16000,0.073935,0.9242,0.0,0.5986,0.4014,25.78,-6.0,776.9,964.2,likely_quiet
asr_final_20260809_233840_918.wav,2.96,16000,0.099315,0.9568,0.0,0.7279,0.2721,30.08,200.0,943.2,1110.8,likely_quiet
asr_final_20260809_233849_392.wav,2.96,16000,0.05806,0.5649,0.0,0.534,0.466,22.73,101.1,820.6,1043.6,likely_quiet
asr_final_20260809_233852_916.wav,2.96,16000,0.066875,0.4798,0.0,0.8095,0.1905,37.34,-153.0,723.9,818.9,likely_quiet
asr_final_20260809_234001_571.wav,2.96,16000,0.057071,0.7096,0.0,0.7075,0.2925,32.15,144.0,798.2,953.7,likely_quiet
asr_final_20260809_234043_544.wav,2.96,16000,0.057602,0.3986,0.0,0.881,0.119,85.55,,675.8,814.2,likely_quiet
asr_final_20260809_234109_638.wav,2.96,16000,0.054019,0.5768,0.0,0.7959,0.2041,56.42,43.5,691.6,1069.9,likely_quiet
asr_final_20260809_234112_687.wav,2.816,16000,0.050118,0.4552,0.0,0.775,0.225,34.18,77.8,657.1,835.6,likely_quiet
asr_final_20260809_234157_007.wav,2.96,16000,0.067025,0.4986,0.0,0.8605,0.1395,81.23,,712.9,815.5,likely_quiet
